128 0 0 0.0 0.0 82.22 0.0501606 0.0207529  {'frags': 0, 'damage': 0} 
9088 30 30 -1.3371866133201182 -1.3371866133201182 84.22 -0.0068787 0.0187745  {'frags': 0, 'damage': 2} 
9216 31 31 -1.2779679514521303 -1.2779679514521303 83.9 -0.0057644 0.0171154  {'frags': 0, 'damage': 1} 
9344 31 31 -1.2779679514521303 -1.2779679514521303 84.17 0.0064693 0.0172066  {'frags': 0, 'damage': 1} 
9472 32 32 -1.22752115948608 -1.22752115948608 85.33 0.0041852 0.0181157  {'frags': 0, 'damage': 1} 
9600 32 32 -1.22752115948608 -1.22752115948608 84.5 0.0006393 0.0172522  {'frags': 0, 'damage': 2} 
9728 32 32 -1.22752115948608 -1.22752115948608 85.53 0.0034581 0.020096  {'frags': 0, 'damage': 2} 
9856 33 33 -1.1738190394539019 -1.1738190394539019 84.22 -0.0031211 0.0185924  {'frags': 0, 'damage': 1} 
9984 33 33 -1.1738190394539019 -1.1738190394539019 84.63 -0.0005558 0.0186482  {'frags': 0, 'damage': 1} 
10112 34 34 -1.1282871333972966 -1.1282871333972966 84.79 0.0059937 0.0187334  {'frags': 0, 'damage': 1} 
10240 34 34 -1.1282871333972966 -1.1282871333972966 83.14 0.0076881 0.0196711  {'frags': 0, 'damage': 1} 
10368 34 34 -1.1282871333972966 -1.1282871333972966 85.89 0.0063426 0.0174603  {'frags': 0, 'damage': 2} 
10496 35 35 -1.089508424570104 -1.089508424570104 85.31 -0.000442 0.0173935  {'frags': 0, 'damage': 1} 
10624 35 35 -1.089508424570104 -1.089508424570104 84.57 0.0053937 0.0182127  {'frags': 0, 'damage': 1} 
10752 36 36 -1.0547075877014018 -1.0547075877014018 85.48 -0.0005372 0.0183478  {'frags': 0, 'damage': 1} 
10880 36 36 -1.0547075877014018 -1.0547075877014018 86.03 -0.0049323 0.0174803  {'frags': 0, 'damage': 1} 
11008 37 37 -1.0132868309781224 -1.0132868309781224 84.66 0.0033453 0.0172456  {'frags': 0, 'damage': 1} 
11136 37 37 -1.0132868309781224 -1.0132868309781224 84.42 0.0049576 0.017602  {'frags': 0, 'damage': 1} 
11264 38 38 -0.97665815083698 -0.97665815083698 84.2 0.0031818 0.0163058  {'frags': 0, 'damage': 1} 
11392 38 38 -0.97665815083698 -0.97665815083698 84.68 0.0069051 0.0160783  {'frags': 0, 'damage': 1} 
11520 38 38 -0.97665815083698 -0.97665815083698 85.6 0.0138554 0.0170162  {'frags': 0, 'damage': 1} 
11648 38 38 -0.97665815083698 -0.97665815083698 83.81 -0.007993 0.0154793  {'frags': 0, 'damage': 1} 
11776 39 39 -0.9386923360859505 -0.9386923360859505 87.25 0.0149242 0.0166739  {'frags': 0, 'damage': 1} 
11904 39 39 -0.9386923360859505 -0.9386923360859505 84.73 0.0034199 0.0184111  {'frags': 0, 'damage': 1} 
12032 40 40 -0.9132731093316102 -0.9132731093316102 84.31 0.0050877 0.0192182  {'frags': 0, 'damage': 1} 
12160 41 41 -0.8918458011015198 -0.8918458011015198 84.09 0.0097725 0.0184431  {'frags': 0, 'damage': 1} 
12288 42 42 -0.8814612260030941 -0.8814612260030941 84.61 0.0023638 0.0177994  {'frags': 0, 'damage': 1} 
12416 42 42 -0.8814612260030941 -0.8814612260030941 82.72 0.0010577 0.0179551  {'frags': 0, 'damage': 1} 
12544 42 42 -0.8814612260030941 -0.8814612260030941 84.82 0.0030369 0.0182354  {'frags': 0, 'damage': 2} 
12672 43 43 -0.8331151029648768 -0.8331151029648768 85.25 0.0011681 0.018822  {'frags': 0, 'damage': 1} 
