12800 29 29 0.0 0.0 168.54 9.61e-05 0.0286819 -2.54e-05 0.0453912  {'room_id': 0, 'visited_rooms': 1} 
12928 29 29 0.0 0.0 168.79 0.0001161 0.0320438 -2.73e-05 0.1162402  {'room_id': 0, 'visited_rooms': 1} 
13056 29 29 0.0 0.0 168.69 0.000108 0.0330962 -6.4e-06 0.0571056  {'room_id': 0, 'visited_rooms': 1} 
13184 29 29 0.0 0.0 168.28 0.0001056 0.0313555 -0.0001144 0.0134166  {'room_id': 0, 'visited_rooms': 1} 
13312 30 30 0.0 0.0 168.42 0.0001104 0.0335027 -0.0001398 0.0352517  {'room_id': 0, 'visited_rooms': 1} 
13440 30 30 0.0 0.0 167.4 0.0001097 0.0359242 -0.0001928 0.0387876  {'room_id': 0, 'visited_rooms': 1} 
13568 30 30 0.0 0.0 168.06 0.00013 0.0441686 -0.0003228 0.1532289  {'room_id': 0, 'visited_rooms': 1} 
13696 30 30 0.0 0.0 167.96 0.0001354 0.0428543 -0.0004661 0.0723912  {'room_id': 0, 'visited_rooms': 1} 
13824 31 31 0.0 0.0 168.91 0.000127 0.0408605 -0.0003981 0.0520783  {'room_id': 0, 'visited_rooms': 1} 
13952 31 31 0.0 0.0 167.72 0.0001259 0.0410503 -0.000287 -0.028516  {'room_id': 0, 'visited_rooms': 1} 
14080 31 31 0.0 0.0 167.51 0.0001295 0.0413467 -0.0002699 -0.0614172  {'room_id': 0, 'visited_rooms': 1} 
14208 31 31 0.0 0.0 169.22 0.0001213 0.0436193 -0.0001813 -0.0580438  {'room_id': 0, 'visited_rooms': 1} 
14336 31 31 0.0 0.0 167.33 0.0001193 0.0382974 -0.0001688 -0.1324839  {'room_id': 0, 'visited_rooms': 1} 
14464 31 31 0.0 0.0 168.76 0.0001256 0.040397 0.0009124 -0.1664964  {'room_id': 0, 'visited_rooms': 1} 
14592 31 31 0.0 0.0 168.15 0.0001258 0.0494196 0.0039414 -0.0113455  {'room_id': 0, 'visited_rooms': 1} 
14720 31 31 0.0 0.0 167.98 0.0001248 0.0386294 0.0028317 -0.0994097  {'room_id': 0, 'visited_rooms': 1} 
14848 31 31 0.0 0.0 167.85 0.0001185 0.0377621 0.0059985 -0.1045236  {'room_id': 0, 'visited_rooms': 1} 
14976 31 31 0.0 0.0 167.85 0.0001037 0.0311463 0.0011755 -0.168241  {'room_id': 0, 'visited_rooms': 1} 
15104 31 31 0.0 0.0 169.3 9.63e-05 0.0284855 0.0012003 -0.0906831  {'room_id': 0, 'visited_rooms': 1} 
15232 31 31 0.0 0.0 168.0 9.91e-05 0.0287426 0.0007523 -0.0680505  {'room_id': 0, 'visited_rooms': 1} 
15360 31 31 0.0 0.0 168.39 9.51e-05 0.0281209 -0.0010123 -0.0454701  {'room_id': 0, 'visited_rooms': 1} 
15488 32 32 0.0 0.0 168.43 0.0002159 0.028416 0.0015881 0.0237303  {'room_id': 0, 'visited_rooms': 1} 
