128 0 0 0.0 0.0 21.34 -0.9168827 0.7990734  {'room_id': 51, 'explored_rooms': 6, 'raw_score': 0.0} 
10880 18 18 459.8984667763265 38.75110547812856 39.39 -0.221672 2.3078185  {'room_id': 115, 'explored_rooms': 81, 'raw_score': 459.8984667763265} 
11008 18 18 459.8984667763265 38.75110547812856 38.98 -0.1477746 2.3599243  {'room_id': 161, 'explored_rooms': 81, 'raw_score': 459.8984667763265} 
11136 18 18 459.8984667763265 38.75110547812856 37.01 -0.068553 2.0580683  {'room_id': 51, 'explored_rooms': 82, 'raw_score': 459.8984667763265} 
11264 19 19 501.90862009869386 43.275994930315704 34.69 -0.0104945 1.9666406  {'room_id': 113, 'explored_rooms': 82, 'raw_score': 501.90862009869386} 
11392 19 19 501.90862009869386 43.275994930315704 35.36 0.0206424 2.4841911  {'room_id': 33, 'explored_rooms': 82, 'raw_score': 501.90862009869386} 
11520 19 19 501.90862009869386 43.275994930315704 34.55 -0.0010615 2.2396172  {'room_id': 162, 'explored_rooms': 82, 'raw_score': 501.90862009869386} 
11648 19 19 501.90862009869386 43.275994930315704 37.03 0.0055317 2.014296  {'room_id': 81, 'explored_rooms': 83, 'raw_score': 501.90862009869386} 
11776 19 19 501.90862009869386 43.275994930315704 37.38 -0.0503781 2.1838135  {'room_id': 51, 'explored_rooms': 83, 'raw_score': 501.90862009869386} 
11904 20 20 518.7177580888244 45.24839543728413 41.42 0.0027518 2.3583904  {'room_id': 114, 'explored_rooms': 83, 'raw_score': 518.7177580888244} 
12032 20 20 518.7177580888244 45.24839543728413 42.77 -0.1658122 2.1690157  {'room_id': 81, 'explored_rooms': 83, 'raw_score': 518.7177580888244} 
12160 20 20 518.7177580888244 45.24839543728413 41.12 -0.1192428 2.3459085  {'room_id': 162, 'explored_rooms': 83, 'raw_score': 518.7177580888244} 
12288 20 20 518.7177580888244 45.24839543728413 43.67 -0.1481231 2.6785388  {'room_id': 33, 'explored_rooms': 83, 'raw_score': 518.7177580888244} 
12416 20 20 518.7177580888244 45.24839543728413 42.0 -0.1564903 2.4440986  {'room_id': 114, 'explored_rooms': 83, 'raw_score': 518.7177580888244} 
12544 21 21 535.8459822799421 47.22355589355572 40.91 -0.1193226 2.4584153  {'room_id': 115, 'explored_rooms': 83, 'raw_score': 535.8459822799421} 
12672 21 21 535.8459822799421 47.22355589355572 42.63 -0.1198108 2.2318127  {'room_id': 16, 'explored_rooms': 83, 'raw_score': 535.8459822799421} 
12800 21 21 535.8459822799421 47.22355589355572 40.82 -0.0031471 2.2509735  {'room_id': 115, 'explored_rooms': 83, 'raw_score': 535.8459822799421} 
12928 21 21 535.8459822799421 47.22355589355572 40.34 -0.0185377 2.2619489  {'room_id': 144, 'explored_rooms': 83, 'raw_score': 535.8459822799421} 
13056 21 21 535.8459822799421 47.22355589355572 39.75 -0.2149765 2.150324  {'room_id': 113, 'explored_rooms': 83, 'raw_score': 535.8459822799421} 
13184 21 21 535.8459822799421 47.22355589355572 40.44 -0.1670549 2.3093186  {'room_id': 33, 'explored_rooms': 83, 'raw_score': 535.8459822799421} 
13312 21 21 535.8459822799421 47.22355589355572 38.68 -0.0815488 2.0637465  {'room_id': 35, 'explored_rooms': 83, 'raw_score': 535.8459822799421} 
