7168 10 10 17.1 0.171 136.07 0.0130596 0.0107535 0.0 0.0 -0.0113805 0.0583695 1.2032579 0.7484433 0.020122 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 3, 'raw_score': 17.1} 
7296 11 11 55.39 0.3539 135.05 0.0124799 0.012144 0.0 0.0 -0.013014 0.050555 1.1983641 0.7435745 0.0207916 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
7424 11 11 55.39 0.3539 133.09 0.0110503 0.0096559 0.0 0.0 -0.0132896 0.0478083 1.1931317 0.744734 0.0196962 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
7552 11 11 55.39 0.3539 133.0 0.0116196 0.0095101 0.0 0.0 -0.013294 0.0360592 1.1949842 0.7512243 0.0198871 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
7680 11 11 55.39 0.3539 132.76 0.0126418 0.0094004 0.0 0.0 -0.0137344 0.0338482 1.192209 0.7654717 0.0188761 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
7808 11 11 55.39 0.3539 133.39 0.010388 0.0075521 0.0 0.0 -0.0141672 0.0309737 1.1979599 0.7666401 0.0177554 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
7936 11 11 55.39 0.3539 132.66 0.0106643 0.0087502 0.0 0.0 -0.0134246 0.0290785 1.1922451 0.7781617 0.0190794 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
8064 11 11 55.39 0.3539 137.09 0.0109195 0.0097287 0.0 0.0 -0.0148391 0.0249287 1.1831106 0.7660421 0.0203255 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
8192 11 11 55.39 0.3539 135.51 0.011002 0.0093425 0.0 0.0 -0.0139771 0.0267344 1.1734644 0.7615809 0.0197424 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
8320 11 11 55.39 0.3539 135.21 0.0114331 0.0111638 0.0 0.0 -0.0166467 0.0248005 1.1683204 0.7625774 0.0195282 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
8448 11 11 55.39 0.3539 130.38 0.0110608 0.0105158 0.0 0.0 -0.0153056 0.0259902 1.1636114 0.7619507 0.0203341 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
8576 11 11 55.39 0.3539 132.39 0.0130267 0.011831 0.0 0.0 -0.0152376 0.0255334 1.1647241 0.7629536 0.0217564 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
8704 11 11 55.39 0.3539 136.45 0.0119699 0.0101522 0.0 0.0 -0.0150061 0.0246745 1.159673 0.7690961 0.0208304 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
8832 11 11 55.39 0.3539 133.61 0.0131898 0.0117596 0.0 0.0 -0.0148288 0.0303547 1.1523252 0.7611047 0.0225563 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
8960 11 11 55.39 0.3539 133.12 0.0163836 0.0163696 0.0 0.0 -0.0152995 0.0323551 1.1439962 0.7715103 0.0248472 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
9088 11 11 55.39 0.3539 138.59 0.0147106 0.0119744 0.0 0.0 -0.0150105 0.031016 1.1373237 0.7722818 0.0243757 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
9216 11 11 55.39 0.3539 131.68 0.0152528 0.0157277 0.0 0.0 -0.0135053 0.0433419 1.1267196 0.7658486 0.0265712 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
9344 11 11 55.39 0.3539 131.98 0.0203965 0.0429887 0.0 0.0 -0.0043374 0.0718425 1.1213353 0.7561713 0.0272866 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
9472 11 11 55.39 0.3539 136.88 0.0164278 0.0162309 0.0 0.0 -0.0138474 0.0540228 1.1190597 0.7555118 0.0269165 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
9600 11 11 55.39 0.3539 132.75 0.0191773 0.0177062 0.0 0.0 -0.0106832 0.0806719 1.1159406 0.7440077 0.0283894 {'accuracy': [0.0]} {'room_id': 2, 'explored_rooms': 4, 'raw_score': 55.39} 
9728 11 11 55.39 0.3539 133.13 0.0230851 0.014665 0.0 0.0 -0.012904 0.0748405 1.1086844 0.7424674 0.0281789 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
9856 11 11 55.39 0.3539 132.62 0.0216861 0.0134557 0.0 0.0 -0.0118652 0.0896188 1.1045104 0.7521988 0.029283 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 55.39} 
