0 0.0 0.0 0.0 0.42 0.0126828 0.0 0.000926 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
3712 7.79688 0.0 0.0 8.64 0.0072472 0.0074929 0.0216685 0.0096952 -0.0031771 0.043941 1.4845746 1.3782876 19.6744805 0.0142768 0.6952564 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.0013} 
3840 7.94531 0.0 0.0 10.01 0.0074772 0.0116665 0.0217973 0.0084647 -0.0030683 0.0361436 1.4975627 1.3769165 20.4546457 0.0152138 0.7110799 {} {'explored_rooms_count': 18, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00125} 
3968 8.0 0.0 0.0 11.07 0.0080946 0.0101221 0.0207039 0.0059683 -0.0026254 0.0246336 1.4767533 1.3785468 20.4905013 0.0158452 0.7199717 {} {'explored_rooms_count': 19, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00123} 
4096 8.07031 0.0 0.0 9.94 0.0096179 0.0083959 0.0219024 0.0081531 -0.0028841 0.0289347 1.4669105 1.3749843 20.4304276 0.017436 0.7236072 {} {'explored_rooms_count': 19, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00129} 
4224 8.1875 0.0 0.0 10.37 0.0117017 0.0168935 0.023246 0.0088945 -0.0049949 0.0394233 1.4647447 1.3554293 21.6464269 0.0184284 0.7111339 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00131} 
4352 8.60156 0.0 0.0 10.64 0.0108627 0.0104298 0.0264034 0.0112463 -0.0045912 0.0768868 1.4457809 1.3454791 20.8745989 0.0162113 0.737532 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00143} 
4480 8.94531 0.0 0.0 10.69 0.0097348 0.0106892 0.024757 0.0109297 -0.0029913 0.070265 1.4365476 1.3351037 19.2842993 0.0157967 0.7648874 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00155} 
4608 9.33594 0.0 0.0 10.53 0.008698 0.0096464 0.0258592 0.0121385 -0.0038059 0.0797233 1.4309401 1.3275925 19.8895565 0.015889 0.7638295 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00178} 
4736 9.63281 0.0 0.0 13.88 0.0084867 0.0101287 0.024845 0.0111071 -0.003136 0.0717117 1.4289471 1.3362175 16.7595348 0.0155243 0.7840997 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00181} 
4864 9.8125 0.0 0.0 10.06 0.0074798 0.0136805 0.0226707 0.0088508 -0.0025525 0.0507998 1.4288636 1.3283701 16.0611968 0.0126495 0.7828569 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00189} 
4992 10.03125 0.0 0.0 11.17 0.0060787 0.0116146 0.0226443 0.0084661 -0.003067 0.0429468 1.4289507 1.3372317 17.579065 0.0109217 0.756848 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00203} 
5120 10.07812 0.0 0.0 9.86 0.0053327 0.0066059 0.0210579 0.0061529 -0.0030206 0.0215072 1.4289495 1.3336918 19.7728532 0.009431 0.7206936 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00196} 
5248 10.17969 0.0 0.0 10.83 0.0053036 0.0054326 0.0214893 0.007085 -0.0024542 0.023831 1.4268842 1.3265534 22.5647667 0.0093717 0.6884039 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00199} 
5376 10.375 0.0 0.0 10.49 0.0048584 0.0041094 0.022217 0.0076769 -0.0037444 0.0320682 1.4272778 1.3267862 22.3376975 0.0092842 0.7038436 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00193} 
5504 10.53125 0.0 0.0 10.91 0.0040185 0.0033461 0.021426 0.0074276 -0.0023837 0.0252833 1.4291459 1.3361962 20.3490031 0.0079212 0.7601493 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00187} 
5632 10.625 0.0 0.0 9.89 0.0033454 0.0028492 0.0202826 0.0061464 -0.0026764 0.0192073 1.4337271 1.3425161 22.1101534 0.0064974 0.7510813 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00185} 
5760 10.70312 0.0 0.0 9.46 0.0034755 0.0053163 0.0205515 0.0059956 -0.0026952 0.0190149 1.4290314 1.3422466 23.4563904 0.0063307 0.7266092 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00186} 
5888 10.71875 0.0 0.0 9.11 0.0029244 0.0052369 0.0195563 0.0041335 -0.0042742 0.0129117 1.4199429 1.3463087 24.855541 0.0055046 0.7160867 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00187} 
6016 10.76562 0.0 0.0 10.19 0.0028635 0.0037675 0.0194202 0.00471 -0.003185 0.015478 1.4096433 1.3488258 28.6906998 0.0052809 0.6756147 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00185} 
6144 10.86719 0.0 0.0 10.68 0.0028856 0.003328 0.0204229 0.0059374 -0.0031098 0.0191997 1.4051049 1.351825 30.19441 0.0054496 0.6524254 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00178} 
6272 10.88281 0.0 0.0 10.75 0.0024655 0.0031865 0.0193347 0.0041857 -0.003782 0.0122401 1.4067852 1.3633172 32.2886067 0.0046087 0.619319 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0018} 
6400 10.89062 0.0 0.0 9.34 0.002414 0.0033822 0.0182868 0.0031366 -0.0050706 0.0105775 1.4095671 1.3727247 34.7156873 0.0043518 0.5632057 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00181} 
6528 10.94531 0.0 0.0 9.7 0.0029038 0.0040282 0.0181191 0.0044189 -0.0028065 0.0136476 1.403139 1.3748822 35.7078255 0.0049301 0.5437178 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00183} 
6656 11.00781 0.0 0.0 9.96 0.0027568 0.003349 0.0179998 0.005845 -0.0023633 0.0128124 1.3990402 1.3740855 36.5984766 0.0049441 0.5407397 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00176} 
6784 11.13281 0.0 0.0 9.6 0.0032515 0.0037034 0.0176426 0.0092452 -0.0032934 0.0169658 1.3989077 1.3637869 37.0460114 0.0055407 0.547856 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0017} 
6912 11.28125 0.0 0.0 11.35 0.0036487 0.0044092 0.0166854 0.0108225 -0.0028012 0.0200271 1.3969604 1.3670799 38.7027866 0.006541 0.5540909 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00171} 
7040 11.45312 0.0 0.0 9.9 0.0033642 0.0042243 0.0170256 0.0114591 -0.0026719 0.0188618 1.395145 1.3640873 39.2815876 0.0065398 0.5755496 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00174} 
7168 11.5625 0.0 0.0 11.75 0.0026688 0.0025122 0.0181647 0.0117293 -0.0033032 0.0140414 1.3969604 1.3669446 40.6686552 0.0049564 0.5537142 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00178} 
7296 11.64844 0.0 0.0 12.92 0.0020869 0.0020782 0.0169964 0.0068773 -0.0022706 0.011466 1.3990906 1.3673309 40.7248597 0.0042809 0.5788884 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00182} 
7424 11.70312 0.0 0.0 11.25 0.0020919 0.0019561 0.0178955 0.0072709 -0.0025663 0.0104153 1.3982118 1.3722645 40.3531812 0.003985 0.584769 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00174} 
7552 11.72656 0.0 0.0 12.72 0.0019767 0.0018682 0.017137 0.0053577 -0.0031922 0.0087014 1.3829631 1.3692212 40.5764928 0.0038342 0.5912696 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00174} 
7680 11.78906 0.0 0.0 10.74 0.0019524 0.0018563 0.0180707 0.0076368 -0.0030839 0.0105416 1.3749448 1.371834 41.1889969 0.0036513 0.5853696 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00173} 
7808 11.82812 0.0 0.0 10.16 0.0017759 0.0016656 0.0171379 0.0056521 -0.0024095 0.0080391 1.3730601 1.368063 41.7902743 0.003464 0.5897611 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00171} 
7936 11.89844 0.0 0.0 9.25 0.0019518 0.001885 0.0175938 0.0074628 -0.0022958 0.0094172 1.3715709 1.3653405 42.292689 0.0034539 0.5629847 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00173} 
8064 12.0 0.0 0.0 9.04 0.0024209 0.0029041 0.0186127 0.0100876 -0.002427 0.0119325 1.3695925 1.3581326 42.7380484 0.0042904 0.5682378 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00179} 
8192 12.13281 0.0 0.0 9.02 0.0026776 0.0040882 0.0198698 0.0107801 -0.0032953 0.0138451 1.3699524 1.3439418 41.9039604 0.0052679 0.6081918 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00194} 
8320 12.32031 0.0 0.0 12.11 0.0031975 0.0040182 0.0239054 0.0091667 -0.0038041 0.017892 1.3679647 1.336079 38.0270788 0.0064525 0.6555733 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00186} 
8448 12.48438 0.0 0.0 10.24 0.0038174 0.008329 0.0247768 0.0090241 -0.0033535 0.0181697 1.3666553 1.3364726 35.8881749 0.0068049 0.6789438 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00185} 
8576 12.53125 0.0 0.0 10.88 0.0038228 0.0078623 0.0234894 0.0064747 -0.0036359 0.0139618 1.3663463 1.3418592 37.0804619 0.0063449 0.6705658 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00188} 
8704 12.60938 0.0 0.0 11.71 0.0039174 0.0070067 0.0227735 0.0078985 -0.0022124 0.0175574 1.3608703 1.3261651 39.308616 0.0065334 0.64299 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00193} 
8832 12.78125 0.0 0.0 10.87 0.0037839 0.0054525 0.0229832 0.0092796 -0.0035804 0.0247568 1.3451101 1.320511 39.715382 0.0068161 0.6404524 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00186} 
8960 12.88281 0.0 0.0 9.73 0.0030047 0.0037881 0.0221218 0.0075703 -0.003461 0.0186472 1.3460913 1.3297329 37.4435221 0.0056497 0.6617524 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00185} 
9088 12.99219 0.0 0.0 12.19 0.0028042 0.0045776 0.0225435 0.0100159 -0.0027722 0.0191366 1.3438951 1.3280131 39.7741389 0.0051207 0.6399807 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00186} 
9216 13.0625 0.0 0.0 11.36 0.0026107 0.0045889 0.0216129 0.0072462 -0.0027791 0.0188628 1.345701 1.3370288 39.0832713 0.0047775 0.6504621 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0018} 
9344 13.125 0.0 0.0 10.57 0.0027272 0.005471 0.0204382 0.0061364 -0.0029015 0.01657 1.3471715 1.3421429 41.4097669 0.0046128 0.6208749 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00182} 
9472 13.16406 0.0 0.0 10.04 0.0031055 0.0055477 0.0198168 0.005537 -0.0039424 0.0145503 1.3425853 1.3417475 41.7597116 0.0050074 0.6040352 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00185} 
9600 13.30469 0.0 0.0 8.66 0.0034954 0.0056738 0.0207533 0.0070718 -0.0033122 0.0209585 1.3413446 1.3370929 41.0065553 0.006137 0.6116208 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00186} 
9728 13.46875 0.0 0.0 8.49 0.0033707 0.0050259 0.0204068 0.0080955 -0.0033454 0.0212005 1.3412561 1.3300766 40.4651671 0.0066663 0.637987 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00188} 
9856 13.65625 0.0 0.0 9.41 0.0029812 0.0041357 0.021263 0.0081592 -0.0032273 0.0250376 1.3435012 1.3401678 37.9957041 0.0059506 0.6722222 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00187} 
9984 13.75 0.0 0.0 10.02 0.0027949 0.0040419 0.0211564 0.0064689 -0.0032192 0.0167915 1.34221 1.3441812 38.8212587 0.0052505 0.6624245 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00189} 
10112 13.82031 0.0 0.0 9.83 0.002498 0.0036285 0.0204816 0.0054685 -0.0040016 0.0129061 1.3330095 1.3496525 39.7728347 0.0047206 0.6353115 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.0019} 
10240 13.88281 0.0 0.0 10.32 0.0031136 0.0072159 0.0222295 0.0064968 -0.0041958 0.0159609 1.3206117 1.3483175 40.5878661 0.0049439 0.6365052 {} {'explored_rooms_count': 22, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00184} 
10368 13.96094 0.0 0.0 10.65 0.0032748 0.0085984 0.0209853 0.0065104 -0.0042413 0.0169281 1.3067369 1.3429435 40.2153196 0.0054419 0.6273266 {} {'explored_rooms_count': 23, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0019} 
10496 14.09375 0.0 0.0 11.51 0.003609 0.008659 0.0215 0.0076646 -0.0028665 0.0212484 1.2997535 1.3410562 38.5612024 0.0057237 0.6531526 {} {'explored_rooms_count': 24, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00205} 
10624 14.20312 0.0 0.0 12.21 0.0045343 0.0125476 0.021705 0.0085175 -0.0029224 0.0242404 1.2957909 1.3304596 41.1771487 0.006964 0.6130843 {} {'explored_rooms_count': 28, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00215} 
10752 14.36719 0.0 0.0 7.92 0.0048478 0.0101603 0.0219393 0.0093546 -0.003987 0.0317025 1.2972669 1.3223382 39.1983983 0.0078509 0.6365978 {} {'explored_rooms_count': 28, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00218} 
10880 14.625 0.0 0.0 10.1 0.0060722 0.0083759 0.024173 0.0109108 -0.0038967 0.0448213 1.3000631 1.3278489 35.8761612 0.0098652 0.6875529 {} {'explored_rooms_count': 28, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00202} 
11008 14.88281 0.0 0.0 9.88 0.0066687 0.0061295 0.0251285 0.0103197 -0.0045345 0.0466021 1.302426 1.3279389 30.7623349 0.0114035 0.7219346 {} {'explored_rooms_count': 28, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00201} 
11136 15.23438 0.0 0.0 10.28 0.0079862 0.0078901 0.0255327 0.0122504 -0.0038199 0.0587594 1.3097396 1.3553064 26.2117274 0.0136869 0.747771 {} {'explored_rooms_count': 29, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00211} 
11264 15.60938 0.0 0.0 10.34 0.0081169 0.0074567 0.0243514 0.012582 -0.0033405 0.058314 1.3128247 1.39448 18.673555 0.0135955 0.8109398 {} {'explored_rooms_count': 31, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.002} 
11392 15.99219 0.0 0.0 10.88 0.0093466 0.0130742 0.0223422 0.0128161 -0.003661 0.054147 1.3176638 1.413215 15.6335507 0.013813 0.8332558 {} {'explored_rooms_count': 33, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00197} 
11520 16.33594 0.0 0.0 10.72 0.0105512 0.0202869 0.0221153 0.0134774 -0.0029693 0.0584538 1.3155879 1.413627 12.504337 0.0144841 0.8591979 {} {'explored_rooms_count': 37, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00209} 
11648 16.75781 0.0 0.0 10.75 0.0088578 0.0123869 0.0227084 0.014385 -0.0037651 0.0637043 1.3025115 1.3961893 10.1407919 0.014226 0.8740981 {} {'explored_rooms_count': 37, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00207} 
11776 17.16406 0.0 0.0 10.9 0.0079901 0.0111132 0.0216891 0.0133438 -0.0034883 0.0558108 1.301964 1.4017851 8.1746702 0.013223 0.8954586 {} {'explored_rooms_count': 39, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00205} 
11904 17.64062 0.0 0.0 11.19 0.006587 0.0085853 0.0224825 0.0147341 -0.0035209 0.055489 1.2885959 1.3862043 7.4958228 0.0119285 0.8968221 {} {'explored_rooms_count': 41, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.0021} 
12032 18.00781 0.0 0.0 9.71 0.0071321 0.0119935 0.0224069 0.0150451 -0.004002 0.0466056 1.2831969 1.3652137 7.3658387 0.0114971 0.8761766 {} {'explored_rooms_count': 42, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00194} 
12160 18.39844 0.0 0.0 11.61 0.0056815 0.0074116 0.0221841 0.0138437 -0.0030302 0.0392693 1.2801121 1.3577106 7.3294674 0.0104836 0.8835549 {} {'explored_rooms_count': 43, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00186} 
12288 18.85938 0.0 0.0 11.15 0.0059577 0.0091741 0.0236615 0.0134837 -0.0040675 0.0427136 1.2765611 1.3553705 7.4364441 0.0103799 0.8762726 {} {'explored_rooms_count': 43, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00197} 
12416 19.10156 0.0 0.0 10.82 0.0062047 0.011922 0.022311 0.0117577 -0.0038229 0.0323171 1.2767998 1.3328995 8.31679 0.0103737 0.8595065 {} {'explored_rooms_count': 47, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00198} 
12544 19.35156 0.0 0.0 10.38 0.0044561 0.0063498 0.0216762 0.0114712 -0.0036612 0.0261372 1.2755375 1.3183014 10.6553917 0.0083413 0.8149098 {} {'explored_rooms_count': 47, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00203} 
12672 19.5 0.0 0.0 11.32 0.0038326 0.0044369 0.0210817 0.010981 -0.0032851 0.0210349 1.2660653 1.3168565 12.5034832 0.0073135 0.7927744 {} {'explored_rooms_count': 48, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00208} 
