0 0.0 0.0 0.0 0.38 0.0176548 0.0 7.65e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
1408 1.42969 0.0 0.0 11.41 0.0170925 0.0330235 0.001478 0.0007093 -0.0045063 0.0643718 1.5954937 1.3998369 31.3804337 0.0223525 0.55597 {} {'explored_rooms_count': 6, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.00107} 
1536 1.78906 0.0 0.0 12.96 0.016614 0.0218874 0.0020392 0.0014326 -0.0032634 0.099458 1.5765534 1.4628708 32.1140421 0.0238852 0.6036313 {} {'explored_rooms_count': 7, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0014} 
1664 2.17969 0.0 0.0 10.36 0.0186207 0.0284424 0.0021384 0.0016767 -0.0026537 0.0922759 1.5750037 1.6276642 26.2651159 0.0249749 0.7002144 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00161} 
1792 2.73438 0.0 0.0 11.96 0.0123142 0.0198524 0.0022931 0.0018229 -0.0034499 0.095129 1.5749975 1.5495178 17.0610724 0.0216238 0.7802042 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00181} 
1920 3.03906 0.0 0.0 11.48 0.011079 0.012845 0.0019863 0.0015613 -0.0029719 0.048254 1.5331251 1.4423589 14.141096 0.019167 0.7832395 {} {'explored_rooms_count': 8, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00167} 
2048 3.28906 0.0 0.0 10.79 0.0106484 0.0131179 0.0018638 0.0013319 -0.0027597 0.0428993 1.5211189 1.410749 13.216521 0.0189679 0.7826535 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00167} 
2176 3.46094 0.0 0.0 12.01 0.0103139 0.0136478 0.0017573 0.0010554 -0.002535 0.0302009 1.5237518 1.3682564 15.0245332 0.0179111 0.7546617 {} {'explored_rooms_count': 9, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00161} 
2304 3.60156 0.0 0.0 10.29 0.0107273 0.0216437 0.0017318 0.00095 -0.0021881 0.026711 1.5245098 1.3627649 17.7248539 0.0177003 0.721867 {} {'explored_rooms_count': 10, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0015} 
2432 3.78125 0.0 0.0 10.43 0.0107041 0.025883 0.0018284 0.0009977 -0.0025723 0.023545 1.5209903 1.3521071 19.3228843 0.0167508 0.7103284 {} {'explored_rooms_count': 11, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00149} 
2560 3.89844 0.0 0.0 9.38 0.0085681 0.0164529 0.001944 0.000931 -0.0035019 0.0174894 1.5203552 1.3484311 22.0344472 0.0151123 0.6819696 {} {'explored_rooms_count': 12, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00157} 
2688 4.09375 0.0 0.0 10.28 0.0077488 0.0106333 0.001993 0.0009785 -0.0037195 0.0119694 1.5229855 1.3479805 24.1636252 0.014601 0.6779707 {} {'explored_rooms_count': 13, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00158} 
2816 4.28906 0.0 0.0 10.73 0.0072047 0.0068176 0.0021304 0.0009414 -0.0030503 0.0093002 1.5290013 1.3547582 24.0470245 0.0158118 0.6928241 {} {'explored_rooms_count': 13, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00157} 
2944 4.39844 0.0 0.0 11.1 0.0082471 0.0117117 0.0021836 0.0007323 -0.0032154 0.0072425 1.514399 1.3662588 22.8631325 0.0172261 0.7244833 {} {'explored_rooms_count': 13, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00158} 
3072 4.57812 0.0 0.0 11.0 0.0099305 0.0115162 0.0023029 0.0008653 -0.0040547 0.0094203 1.5142055 1.3660567 23.3028823 0.0195455 0.7295107 {} {'explored_rooms_count': 13, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00157} 
3200 4.95312 0.0 0.0 11.54 0.0147914 0.0141873 0.0025655 0.0012344 -0.0045985 0.0204488 1.5118591 1.3644437 22.1058431 0.0270061 0.7421662 {} {'explored_rooms_count': 13, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00145} 
3328 5.28125 0.0 0.0 10.61 0.0166326 0.0132195 0.0025038 0.0011402 -0.0050798 0.0280975 1.512643 1.3698955 21.2101001 0.0303768 0.7570503 {} {'explored_rooms_count': 13, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00144} 
3456 5.79688 0.0 0.0 10.49 0.0211566 0.0219376 0.0024412 0.0013074 -0.00423 0.0411328 1.5006822 1.3642958 20.7578053 0.0322664 0.7543449 {} {'explored_rooms_count': 15, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.00134} 
3584 6.29688 0.0 0.0 11.96 0.0209934 0.0241613 0.0021651 0.0013302 -0.0048959 0.0530916 1.477365 1.3721475 20.0127994 0.0323087 0.7393678 {} {'explored_rooms_count': 17, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.0011} 
3712 7.0625 0.0 0.0 10.6 0.0224433 0.0330445 0.0023739 0.0013438 -0.0029196 0.0913369 1.4755511 1.3862271 17.3783263 0.0293688 0.7721046 {} {'explored_rooms_count': 19, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00111} 
3840 7.97656 0.0 0.0 12.46 0.0177159 0.0227836 0.0024127 0.0013375 -0.0028403 0.1072064 1.4690765 1.3824101 12.3461491 0.0273038 0.817703 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00103} 
3968 8.91406 0.0 0.0 11.29 0.018667 0.0264225 0.0024734 0.001364 -0.0028035 0.0944447 1.4680551 1.3650377 9.060692 0.0274238 0.8372428 {} {'explored_rooms_count': 23, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00102} 
4096 9.96875 0.0 0.0 12.41 0.0181376 0.0296894 0.0025589 0.0012871 -0.0024855 0.0940878 1.4655443 1.3638912 7.2481094 0.0269842 0.8694345 {} {'explored_rooms_count': 27, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00093} 
4224 10.83594 0.0 0.0 11.32 0.0165209 0.024219 0.0024895 0.001309 -0.0034596 0.0803342 1.442544 1.3480222 6.6654695 0.0269312 0.8816585 {} {'explored_rooms_count': 30, 'episodic_explored_rooms_count': 4, 'episodic_explored_area': 0.00096} 
4352 11.75781 0.0 0.0 12.62 0.015186 0.0208814 0.0025487 0.0013067 -0.0032312 0.0782268 1.429193 1.3496434 6.5410623 0.0257871 0.8894306 {} {'explored_rooms_count': 34, 'episodic_explored_rooms_count': 3, 'episodic_explored_area': 0.0009} 
4480 12.71094 0.0 0.0 11.7 0.0135201 0.0173876 0.0026667 0.0014287 -0.0032221 0.071026 1.4293648 1.3520465 6.1034458 0.0234361 0.8906923 {} {'explored_rooms_count': 36, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00094} 
4608 13.60938 0.0 0.0 13.65 0.0116386 0.0131845 0.002604 0.0013605 -0.0041314 0.0527447 1.4272227 1.3419957 5.4631734 0.0205729 0.8985624 {} {'explored_rooms_count': 37, 'episodic_explored_rooms_count': 2, 'episodic_explored_area': 0.00109} 
4736 14.57031 0.0 0.0 14.07 0.0095403 0.0090566 0.0025112 0.0013539 -0.0037126 0.0462109 1.4265015 1.3514269 5.0103974 0.017127 0.9065557 {} {'explored_rooms_count': 38, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00107} 
4864 15.42969 0.0 0.0 11.96 0.0090942 0.0081503 0.0025068 0.0013168 -0.0039256 0.0353936 1.4259756 1.3518202 5.2458845 0.0163866 0.8931041 {} {'explored_rooms_count': 38, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00084} 
4992 16.1875 0.0 0.0 12.12 0.0105961 0.0123397 0.0024732 0.0013449 -0.0031666 0.0364086 1.4219229 1.3380836 5.7525096 0.0185963 0.8970243 {} {'explored_rooms_count': 38, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00095} 
5120 16.96875 0.0 0.0 12.14 0.0114513 0.016994 0.0025261 0.0013443 -0.0031907 0.0395607 1.4008883 1.3423005 5.8246457 0.0188896 0.902632 {} {'explored_rooms_count': 42, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00095} 
5248 17.6875 0.0 0.0 10.97 0.0114027 0.0156299 0.0025486 0.0013534 -0.0028825 0.0362248 1.3953138 1.3356528 5.7861034 0.0192752 0.9098806 {} {'explored_rooms_count': 45, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00083} 
5376 18.42188 0.0 0.0 12.34 0.0097866 0.0106484 0.002413 0.0013399 -0.0041563 0.0308485 1.3957925 1.3387786 5.4245076 0.0180563 0.9128915 {} {'explored_rooms_count': 46, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00107} 
5504 19.40625 0.0 0.0 10.7 0.0085694 0.0094863 0.0025844 0.0013743 -0.0036123 0.0276015 1.3928611 1.3353379 5.1174881 0.0156366 0.9131212 {} {'explored_rooms_count': 47, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00098} 
5632 20.19531 0.0 0.0 13.63 0.0088859 0.0143335 0.0026215 0.0013118 -0.0036499 0.029399 1.3939968 1.3341857 5.2180579 0.0155437 0.9108206 {} {'explored_rooms_count': 49, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00096} 
5760 20.95312 0.0 0.0 10.46 0.0088178 0.0103619 0.0025891 0.0013861 -0.0031535 0.02365 1.3920495 1.326817 5.3275784 0.0156629 0.9183507 {} {'explored_rooms_count': 51, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.001} 
5888 21.64844 0.0 0.0 12.27 0.0084273 0.009094 0.0025572 0.0012718 -0.0031076 0.023013 1.3760258 1.3344328 5.196818 0.0148942 0.9190621 {} {'explored_rooms_count': 51, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00091} 
6016 22.53125 0.0 0.0 11.06 0.0078743 0.0095729 0.0026476 0.0014407 -0.0029861 0.0229587 1.3687757 1.3311594 4.9890215 0.0141296 0.9247154 {} {'explored_rooms_count': 51, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00099} 
6144 23.14062 0.0 0.0 10.83 0.0089528 0.0105673 0.0026203 0.0013466 -0.0035228 0.0204752 1.36531 1.3458641 5.2905689 0.0152287 0.9171012 {} {'explored_rooms_count': 52, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00118} 
6272 23.78906 0.0 0.0 12.1 0.0097337 0.0144883 0.0026382 0.0014084 -0.0029238 0.0211565 1.3599869 1.3442596 5.3441767 0.0158262 0.9138544 {} {'explored_rooms_count': 57, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00108} 
6400 24.40625 0.0 0.0 12.86 0.0090132 0.0119911 0.0026028 0.0013774 -0.0031331 0.0206714 1.344482 1.334722 5.1562813 0.0150433 0.9230924 {} {'explored_rooms_count': 57, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00129} 
6528 25.23438 0.0 0.0 12.71 0.0068581 0.0072217 0.0028014 0.0014743 -0.0040185 0.0211473 1.341441 1.3353489 4.8872277 0.0135365 0.931596 {} {'explored_rooms_count': 57, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00147} 
6656 25.85938 0.0 0.0 10.93 0.0067404 0.0082259 0.0027182 0.0013477 -0.0042265 0.0116919 1.3442687 1.3320915 4.5938429 0.0121404 0.9259958 {} {'explored_rooms_count': 58, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00134} 
6784 26.44531 0.0 0.0 11.55 0.0073428 0.0105609 0.0027856 0.0013062 -0.0030929 0.0114981 1.3406343 1.3201858 4.9228663 0.01294 0.9178847 {} {'explored_rooms_count': 63, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00128} 
6912 27.1875 0.0 0.0 11.79 0.0073204 0.0104118 0.0028331 0.0012973 -0.0032266 0.0142926 1.3382167 1.3172274 4.8646901 0.0129421 0.9256765 {} {'explored_rooms_count': 65, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00132} 
7040 27.75781 0.0 0.0 10.99 0.007422 0.0099895 0.0028328 0.0013155 -0.0032365 0.0121762 1.3365251 1.3108149 4.7482145 0.0132635 0.9227353 {} {'explored_rooms_count': 68, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00138} 
7168 28.51562 0.0 0.0 13.78 0.0067408 0.0067377 0.0028758 0.0014026 -0.0034471 0.0111309 1.3366484 1.3078315 4.4913017 0.0122746 0.9292723 {} {'explored_rooms_count': 68, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00138} 
7296 29.26562 0.0 0.0 9.99 0.0061353 0.0066963 0.0029657 0.0013491 -0.0038007 0.0103617 1.324677 1.3157542 4.4129384 0.0112054 0.9277852 {} {'explored_rooms_count': 69, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00135} 
7424 29.82031 0.0 0.0 12.68 0.0068745 0.0112307 0.0028122 0.0012737 -0.0034322 0.0098031 1.3226739 1.3080454 4.5960371 0.0121028 0.9152757 {} {'explored_rooms_count': 71, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00129} 
7552 30.30469 0.0 0.0 11.73 0.0084227 0.0122906 0.0027518 0.0013104 -0.0035381 0.0102226 1.3190094 1.3039498 5.2453077 0.0133528 0.9142553 {} {'explored_rooms_count': 72, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00132} 
7680 30.86719 0.0 0.0 12.36 0.0070912 0.0086843 0.002732 0.0013835 -0.0030354 0.0104801 1.316374 1.3051817 5.0252664 0.0122849 0.922731 {} {'explored_rooms_count': 72, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00151} 
7808 31.29688 0.0 0.0 9.62 0.0081923 0.0117227 0.0026764 0.0013477 -0.0037992 0.0097157 1.3183783 1.3000132 5.4259417 0.0137342 0.9182092 {} {'explored_rooms_count': 73, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00152} 
7936 31.85938 0.0 0.0 12.91 0.0071398 0.0078362 0.0028019 0.0014458 -0.0038379 0.0116162 1.3053005 1.298489 5.4234577 0.0134946 0.9162275 {} {'explored_rooms_count': 73, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00153} 
8064 32.35156 0.0 0.0 11.39 0.0065913 0.0072306 0.0027958 0.0014076 -0.0040737 0.0099879 1.2990118 1.3029055 5.3464858 0.0121052 0.9135044 {} {'explored_rooms_count': 73, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00163} 
8192 32.98438 0.0 0.0 10.74 0.0063079 0.0081397 0.0029661 0.0014759 -0.0034495 0.0101552 1.2980466 1.3079264 4.9372154 0.0117891 0.9194523 {} {'explored_rooms_count': 73, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00184} 
8320 33.49219 0.0 0.0 11.6 0.006432 0.0090844 0.002857 0.0015181 -0.0029301 0.0091659 1.2988549 1.3093658 4.9123704 0.011 0.9131445 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.0017} 
8448 34.15625 0.0 0.0 11.8 0.0061647 0.0068624 0.0029721 0.001502 -0.0038985 0.0109405 1.2986238 1.3153716 4.837788 0.0109265 0.9277163 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 13, 'episodic_explored_area': 0.00175} 
8576 34.75781 0.0 0.0 11.62 0.0056798 0.0063677 0.0029298 0.001457 -0.0037737 0.0069175 1.2991792 1.3163475 4.291667 0.0103043 0.9317317 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00162} 
8704 35.28906 0.0 0.0 11.27 0.0060496 0.0067722 0.002816 0.0014903 -0.0039668 0.008618 1.2890477 1.3214598 4.6847575 0.0107312 0.9240005 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00167} 
8832 35.86719 0.0 0.0 10.42 0.0059168 0.0069627 0.0028354 0.0015502 -0.003874 0.0109193 1.2818868 1.3132807 4.7590297 0.0108602 0.9305268 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 7, 'episodic_explored_area': 0.00171} 
8960 36.29688 0.0 0.0 11.66 0.0063153 0.0063445 0.002752 0.0015383 -0.0037623 0.0093696 1.2809919 1.3070581 5.0268267 0.0113163 0.9271528 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00196} 
9088 36.79688 0.0 0.0 11.41 0.005842 0.0059597 0.002798 0.0014923 -0.0035563 0.0089076 1.2808956 1.3116007 4.821592 0.0108975 0.9392338 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00204} 
9216 37.27344 0.0 0.0 10.63 0.0060505 0.0057518 0.0026511 0.0015229 -0.0040588 0.0080716 1.2833129 1.3170708 5.1809042 0.0108385 0.9291938 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00188} 
9344 37.69531 0.0 0.0 11.67 0.0057654 0.0050171 0.0026353 0.0014626 -0.003872 0.0075445 1.2807222 1.3174042 5.274731 0.0103735 0.9366515 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00189} 
9472 38.05469 0.0 0.0 10.03 0.0056695 0.0047736 0.0024733 0.0014791 -0.0036335 0.0068969 1.2855456 1.3241274 5.6591872 0.0105882 0.9330185 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00193} 
9600 38.46875 0.0 0.0 11.43 0.0058319 0.0050056 0.0025141 0.0014951 -0.0035884 0.0071813 1.2839025 1.3182268 5.8135772 0.0104352 0.9377949 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00202} 
9728 38.76562 0.0 0.0 11.94 0.0056974 0.0047687 0.0023163 0.0014761 -0.0038124 0.0053854 1.2853563 1.3259994 6.3511124 0.0103523 0.9351397 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00208} 
9856 39.01562 0.0 0.0 12.01 0.0056903 0.0051828 0.0021947 0.0014045 -0.0035847 0.0051648 1.2885758 1.3278071 7.1096077 0.0104436 0.921611 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00213} 
9984 39.34375 0.0 0.0 11.12 0.0051701 0.0038218 0.0022594 0.0015176 -0.0040083 0.0050231 1.2912963 1.3279466 7.8522086 0.0097589 0.9133134 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00219} 
10112 39.63281 0.0 0.0 11.65 0.0053983 0.0044761 0.002284 0.0015984 -0.0047665 0.0046607 1.2854646 1.319895 8.0923137 0.0097069 0.9177086 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00223} 
10240 40.07812 0.0 0.0 11.11 0.0048494 0.0044158 0.0025192 0.0017526 -0.0047838 0.0059703 1.2712964 1.3308733 7.7056665 0.0091237 0.9221936 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00253} 
10368 40.48438 0.0 0.0 11.04 0.004654 0.0042426 0.0026602 0.0016859 -0.0048261 0.0041998 1.2664927 1.3192543 6.3834206 0.0086635 0.9321144 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00256} 
10496 40.82031 0.0 0.0 12.36 0.0050236 0.0054074 0.0026378 0.0016258 -0.0042337 0.0042637 1.2587279 1.2957402 6.1859993 0.0090159 0.9333864 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 6, 'episodic_explored_area': 0.00255} 
10624 41.24219 0.0 0.0 12.03 0.0048874 0.0044452 0.0027122 0.0016153 -0.0046012 0.0042941 1.2544105 1.2939583 5.9994291 0.0089768 0.9373357 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 12, 'episodic_explored_area': 0.00239} 
10752 41.57812 0.0 0.0 10.6 0.0049323 0.0053136 0.0026056 0.0016272 -0.0038682 0.003838 1.2475487 1.2877555 6.4553801 0.0090868 0.9339134 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 12, 'episodic_explored_area': 0.00226} 
10880 41.89062 0.0 0.0 11.58 0.0051997 0.005412 0.002618 0.0015577 -0.0047396 0.0035623 1.2467614 1.2871118 6.5398918 0.0095819 0.9329061 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00235} 
11008 42.25781 0.0 0.0 11.17 0.0049708 0.004601 0.0025952 0.0016153 -0.003413 0.0034934 1.2484737 1.285632 6.923936 0.0088805 0.9208631 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00221} 
11136 42.58594 0.0 0.0 10.85 0.0046964 0.0039979 0.0025651 0.0015678 -0.0041982 0.0032924 1.2430586 1.293139 6.9802659 0.0087376 0.9193463 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 10, 'episodic_explored_area': 0.00226} 
11264 42.86719 0.0 0.0 11.3 0.0047156 0.0038015 0.0024786 0.0015699 -0.0040918 0.0031255 1.2431254 1.2949141 7.5023922 0.0090033 0.916338 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00232} 
11392 43.19531 0.0 0.0 9.63 0.0046189 0.0036667 0.0024666 0.001545 -0.0044582 0.0031804 1.2409594 1.2930847 7.77013 0.0090993 0.9122957 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 5, 'episodic_explored_area': 0.00217} 
11520 43.45312 0.0 0.0 10.4 0.0047627 0.0038723 0.0024297 0.0014614 -0.0045226 0.0026821 1.2398208 1.2901282 8.2856052 0.0090056 0.9112323 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00216} 
11648 43.72656 0.0 0.0 10.21 0.0050148 0.0040766 0.0024561 0.0014869 -0.0043499 0.0029915 1.2341677 1.2947774 7.7136463 0.0088956 0.9215786 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00222} 
11776 44.0625 0.0 0.0 10.36 0.0050969 0.0049558 0.0025353 0.0015417 -0.0040475 0.0032703 1.2361796 1.2872955 7.9170539 0.0094299 0.9153068 {} {'explored_rooms_count': 75, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00215} 
11904 44.42188 0.0 0.0 10.46 0.004697 0.0038969 0.0026284 0.0015376 -0.004419 0.0035074 1.2324591 1.279995 7.642605 0.008788 0.9236686 {} {'explored_rooms_count': 76, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00221} 
12032 44.75781 0.0 0.0 10.43 0.0048474 0.0039669 0.0026282 0.0015257 -0.0040645 0.0032692 1.2384712 1.2750568 7.9720003 0.0088753 0.914466 {} {'explored_rooms_count': 77, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00223} 
12160 45.10156 0.0 0.0 10.94 0.0045115 0.0028966 0.0027297 0.0015416 -0.0038304 0.0028709 1.2348168 1.281022 7.7240963 0.0087274 0.9183197 {} {'explored_rooms_count': 77, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00216} 
12288 45.33594 0.0 0.0 10.73 0.0047733 0.0033049 0.0026184 0.0014185 -0.0037128 0.0027674 1.2430466 1.2751262 7.7743054 0.0088337 0.9072927 {} {'explored_rooms_count': 77, 'episodic_explored_rooms_count': 8, 'episodic_explored_area': 0.00212} 
12416 45.63281 0.0 0.0 10.59 0.0047354 0.0036142 0.0026015 0.0015177 -0.003439 0.0027917 1.2366383 1.2716802 8.5939558 0.0090373 0.8900045 {} {'explored_rooms_count': 77, 'episodic_explored_rooms_count': 11, 'episodic_explored_area': 0.00206} 
12544 45.96875 0.0 0.0 10.65 0.0047023 0.0031061 0.0026211 0.0014752 -0.0037091 0.0028927 1.2361193 1.2760556 9.1601391 0.0090103 0.891549 {} {'explored_rooms_count': 77, 'episodic_explored_rooms_count': 11, 'episodic_explored_area': 0.00206} 
12672 46.17969 0.0 0.0 10.21 0.0045888 0.0029856 0.0025816 0.0012941 -0.0041052 0.0023028 1.2330163 1.2796374 9.931917 0.0087262 0.8746281 {} {'explored_rooms_count': 77, 'episodic_explored_rooms_count': 11, 'episodic_explored_area': 0.0021} 
