0 0.0 0.0 0.0 0.39 0.0153794 0.0 7.6e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
4224 9.35156 0.0 0.0 10.84 0.0074076 0.0058371 0.0002022 0.0001095 -0.0037613 0.0149474 1.4671204 1.3327601 5.7219505 0.0133377 0.9506851 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00214} 
4352 9.52344 0.0 0.0 11.1 0.0075407 0.0054462 0.0002016 0.000107 -0.0038711 0.0114828 1.4650743 1.3308553 5.9819498 0.0130844 0.939065 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00212} 
4480 9.80469 0.0 0.0 10.84 0.0076116 0.0053979 0.0002018 0.000111 -0.0050435 0.0116121 1.4641469 1.3347377 6.1555391 0.0135226 0.9450043 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 9, 'episodic_explored_area': 0.00229} 
4608 10.04688 0.0 0.0 10.26 0.0072434 0.004901 0.0001987 0.0001114 -0.0034248 0.009362 1.4334465 1.3224083 6.066623 0.0126909 0.9395298 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.00247} 
4736 10.23438 0.0 0.0 11.21 0.0065607 0.0042031 0.0001876 0.0001086 -0.0025011 0.0067275 1.4282629 1.3283824 6.045892 0.0119204 0.9432354 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.00267} 
4864 10.39062 0.0 0.0 11.09 0.0063423 0.0039687 0.0001821 0.0001119 -0.0038142 0.0050686 1.4291508 1.3262184 6.2921733 0.0114353 0.943164 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.00287} 
4992 10.5625 0.0 0.0 10.33 0.005951 0.003364 0.0001855 0.0001157 -0.0030047 0.0044371 1.4278589 1.3262796 6.7121685 0.0106879 0.9369854 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.003} 
5120 10.6875 0.0 0.0 9.97 0.0059419 0.003049 0.0001823 0.0001147 -0.0031229 0.0042208 1.4292844 1.3262216 6.8720709 0.0104699 0.9367738 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.00314} 
5248 10.82031 0.0 0.0 11.61 0.0055529 0.0029235 0.0001593 0.0001132 -0.0044705 0.0035606 1.4319539 1.3359196 7.7306441 0.0098446 0.9132623 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.00329} 
5376 10.92188 0.0 0.0 10.21 0.0048307 0.0024491 0.0001448 0.0001151 -0.0038389 0.0026373 1.4331628 1.3410841 8.6373516 0.0089277 0.902887 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 15, 'episodic_explored_area': 0.00332} 
5504 11.03125 0.0 0.0 10.06 0.0047388 0.0025144 0.0001419 0.0001187 -0.0043938 0.0026595 1.4349918 1.3477731 9.9920793 0.0083843 0.8720047 {} {'explored_rooms_count': 20, 'episodic_explored_rooms_count': 1, 'episodic_explored_area': 0.00335} 
